Rank,player,year,week,date,opponent,result,G,Routes,Tar,Rec,RecYds,Yd/Rec,YAC,YAC/Rc,AY/Tar,RecTD,RcLg,Rec%,RecFmb,RecFL,Rec1D,PFFRcDrops
1,Travis Kelce,2022,1,2022-09-11 16:25:00,Cardinals,W 44 - 21,1,32,9,8,121,15.13,34,4.25,10.56,1,35,88.9%,0,0,7,0
1,Travis Kelce,2022,2,2022-09-15 20:15:00,Chargers,W 27 - 24,1,35,7,5,51,10.2,23,4.6,8.86,0,19,71.4%,0,0,3,0
1,Travis Kelce,2022,3,2022-09-25 13:00:00,Colts,L 17 - 20,1,37,8,4,58,14.5,30,7.5,7,1,29,50.0%,0,0,3,2
1,Travis Kelce,2022,4,2022-10-02 20:20:00,Buccaneers,W 41 - 31,1,38,10,9,92,10.22,40,4.44,5.6,1,22,90.0%,0,0,8,0
1,Travis Kelce,2022,5,2022-10-10 20:15:00,Raiders,W 30 - 29,1,42,8,7,25,3.57,12,1.71,6.5,4,8,87.5%,0,0,5,0
1,Travis Kelce,2022,6,2022-10-16 16:25:00,Bills,L 20 - 24,1,35,10,8,108,13.5,34,4.25,9.2,0,25,80.0%,0,0,6,0
1,Travis Kelce,2022,7,2022-10-23 16:25:00,49ers,W 44 - 23,1,30,8,6,98,16.33,49,8.17,5.63,0,27,75.0%,0,0,4,1
1,Travis Kelce,2022,9,2022-11-06 20:20:00,Titans,W 20 - 17,1,65,17,10,106,10.6,48,4.8,6.53,0,23,58.8%,0,0,7,2
1,Travis Kelce,2022,10,2022-11-13 13:00:00,Jaguars,W 27 - 17,1,29,7,6,81,13.5,39,6.5,6.86,1,46,85.7%,0,0,5,0
1,Travis Kelce,2022,11,2022-11-20 20:20:00,Chargers,W 30 - 27,1,29,10,6,115,19.17,88,14.67,5.7,3,34,60.0%,0,0,5,0
1,Travis Kelce,2022,12,2022-11-27 16:25:00,Rams,W 26 - 10,1,34,8,4,57,14.25,25,6.25,6.13,1,39,50.0%,0,0,3,0
1,Travis Kelce,2022,13,2022-12-04 16:25:00,Bengals,L 24 - 27,1,27,6,4,56,14,46,11.5,5,0,19,66.7%,1,1,2,0
1,Travis Kelce,2022,14,2022-12-11 16:05:00,Broncos,W 34 - 28,1,36,9,4,71,17.75,46,11.5,11.22,0,37,44.4%,0,0,3,1
1,Travis Kelce,2022,15,2022-12-18 13:00:00,Texans,W 30 - 24,1,37,10,10,105,10.5,50,5,5.5,0,18,100.0%,0,0,7,0
1,Travis Kelce,2022,16,2022-12-24 13:00:00,Seahawks,W 24 - 10,1,27,8,6,113,18.83,52,8.67,10.38,0,52,75.0%,0,0,4,0
1,Travis Kelce,2022,17,2023-01-01 13:00:00,Broncos,W 27 - 24,1,40,10,7,43,6.14,21,3,6.1,0,12,70.0%,0,0,4,0
1,Travis Kelce,2022,18,2023-01-07 16:30:00,Raiders,W 31 - 13,1,27,7,6,38,6.33,11,1.83,4.29,0,15,85.7%,0,0,2,0
